text_idx,position,original,correction,status,mlm_suggestion,mlm_confidence,original_score,candidates
0,375,retrocardiac,,skipped,hilar,0.1944,0.0000,hilar=0.194405|apical=0.156057|left=0.147899|dependent=0.115826|right=0.07511|posterior=0.053365|lung=0.025208|lower=0.020721|same=0.0203|ling=0.019508|cervical=0.014866|mid=0.012845|middle=0.01|upper=0.007754
0,378,represents,represent,skipped,representing,0.2418,0.0000,represents=0.474726|representing=0.241793|reflects=0.077209|reflecting=0.043558|reflect=0.019367|represented=0.006195|focal=0.00382|from=0.002858|pulmonary=0.002053|chronic=0.001624|reflected=0.0016
0,399,"however,",however,approved,but,0.5963,0.0019,but=0.596339|however=0.203331|although=0.057033|though=0.052807|otherwise=0.035321|with=0.010223|and=0.003833|yet=0.002106|again=0.002024|also=0.001777|apparently=0.001481
0,593,redemonstrated.,,skipped,present,0.1745,0.0000,present=0.174522|noted=0.072498|seen=0.0673|new=0.018626|unchanged=0.013972|mild=0.012446|demonstrated=0.011999|prominent=0.010494|identified=0.009726|the=0.009179|increased=0.008679
0,769,UNDERestimated.],underestimated,approved,increased,0.2537,0.0000,underestimated=0.448587|increased=0.253652|elevated=0.032624|reduced=0.032191|higher=0.022279|enlarged=0.019407|lower=0.017657|greater=0.014639|less=0.010454|decreased=0.008655|high=0.007947|different=0.007189|larger=0.004554|changed=0.003407
0,821,possibility,,skipped,presence,0.2167,0.0000,possibility=0.763375|presence=0.216745|diagnosis=0.008475|question=0.002154|development=0.00115
0,826,infectiuos,infectious,approved,neoplastic,0.2073,0.0000,neoplastic=0.207308|malignant=0.015026|metabolic=0.001354|infection=0.001329|allergic=0.001269|ischemic=0.001138
0,837,abcess.,abscess,approved,extension,0.0194,0.0000,extension=0.019393|involvement=0.008143|joint=0.004162|location=0.0019|arthritis=0.001669|swelling=0.001663|dislocation=0.001455|findings=0.001274|spread=0.001184|fluid=0.001067
2,314,extrathoracic,,skipped,lung,0.3152,0.0000,lung=0.315156|pulmonary=0.126034|primary=0.07633|invasive=0.020468|solid=0.015751|likely=0.015655|suspected=0.014448|recurrent=0.013888|hilar=0.011062|thyroid=0.010901|breast=0.010738|atypical=0.009777|synchronous=0.008137|pleural=0.007886
2,334,redominantly,predominantly,approved,mainly,0.1845,0.0000,mainly=0.18448|mostly=0.082667|particularly=0.051142|especially=0.039632|predominant=0.029083|primarily=0.022617|distributed=0.014585|larger=0.013831|located=0.011055|seen=0.008997|notably=0.007872|greater=0.007777|present=0.007426|more=0.006952
2,454,stranding,standing,skipped,prominence,0.1835,0.0000,prominence=0.183509|loss=0.120129|infiltration=0.099634|sparing=0.090228|attenuation=0.048086|increase=0.041503|enlargement=0.034235|preservation=0.029281|thickening=0.029132|atrophy=0.02784|expansion=0.023543|fibrosis=0.013386|enhancement=0.012095|proliferation=0.010797|replacement=0.010466
2,510,guage,gauge,approved,from,0.0087,0.0000,from=0.008719|for=0.007632
2,585,raises,raines,skipped,suggests,0.2955,0.0000,raises=0.524317|suggests=0.29549|indicates=0.016934|supports=0.016621|suggested=0.016373|suggest=0.011141|implies=0.006185|excludes=0.004654|highlights=0.002647|indicated=0.002084|confirms=0.001199|emphasizes=0.001152|indicate=0.001004
2,587,possibility,,skipped,question,0.1674,0.0000,possibility=0.756897|question=0.167436|suspicion=0.041009|concern=0.013403|consideration=0.004313|likelihood=0.003522|diagnosis=0.002789|prospect=0.001766|suggestion=0.001186|issue=0.001151|presence=0.001133
2,628,Although,,skipped,However,0.3395,0.0004,However=0.339544|But=0.287116|While=0.102346|And=0.051977|Whereas=0.039553|Although=0.024765|Also=0.010942|Moreover=0.006099|Meanwhile=0.005087|Otherwise=0.005062|Additionally=0.003767
2,688,echinocytes.,echinocyte,skipped,lymphocytes,0.1225,0.0000,lymphocytes=0.122497|crystals=0.037156|neutrophils=0.031776|cells=0.027729|bands=0.025515|erythrocytes=0.020031|monocytes=0.017567|forms=0.014068|platelets=0.013021|nuclei=0.010896|granules=0.006517|macrophages=0.005825
2,770,"erythroids,",erythroid,skipped,neutrophils,0.3821,0.0000,neutrophils=0.38212|lymphocytes=0.202308|and=0.108247|macrophages=0.073598|bands=0.053087|monocytes=0.028397|erythrocytes=0.00799|total=0.007065|cells=0.006497|leukocytes=0.004359
2,792,consists,,skipped,consisted,0.0215,0.0000,consists=0.958624|consisted=0.021515|consist=0.004863|comprises=0.003362|comprised=0.00141
2,861,dyspoietic,,skipped,delayed,0.6320,0.0000,delayed=0.631954|abnormal=0.116223|accelerated=0.0355|decreased=0.033196|retarded=0.031683|reduced=0.019762|increased=0.019463|impaired=0.015124|immature=0.012339|atypical=0.010587|advanced=0.00923|diminished=0.006675|altered=0.005074|variable=0.004441|irregular=0.00434
2,927,optimize,optimine,skipped,maximize,0.4267,0.0000,maximize=0.42669|optimize=0.219037|increase=0.07609|improve=0.068931|enhance=0.055857|determine=0.027202|assess=0.023667|quantify=0.018259|evaluate=0.015534|estimate=0.005884|analyze=0.003782|facilitate=0.003702|augment=0.002839|calculate=0.002632|ensure=0.002395
2,931,comprise,,skipped,represented,0.3363,0.0000,represented=0.336328|comprised=0.244468|comprise=0.140482|constituted=0.084391|represent=0.055717|were=0.040432|constitute=0.02587|are=0.010989|contributed=0.009109|composed=0.00433|formed=0.003794|accounted=0.002758|occupied=0.001881|comprising=0.001872|for=0.001824
2,966,additionally,,skipped,also,0.9294,0.0000,also=0.929402|did=0.006003|now=0.005643|additionally=0.005147|still=0.002033|further=0.001199|only=0.001024
